sign_id,label_uz,label_ru,category,category_ru,sign_type,reason
sgn_00002041,viloyat,область,kerak_emas,не_нужно,isolated,no_samples
sgn_00002076,yorliq,ярлык,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002077,tashqi,внешний,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002081,bilim,знание,kerak_emas,не_нужно,isolated,no_samples
sgn_00002082,tahririyat,редакция,kerak_emas,не_нужно,isolated,no_samples
sgn_00002084,sanoat,промышленность,kerak_emas,не_нужно,isolated,no_samples
sgn_00002087,ichida,внутри,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002088,komissiya,комиссия,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002090,asosiy,основной,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002093,ma'muriyat,администрация,joy_nomlari,места_названия,isolated,no_samples
sgn_00002094,kirish,вход_/_войти,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002099,qarshi,против,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002100,axlat,мусор,mahalla,махалля,isolated,no_samples
sgn_00002101,axlat_tashlamoq,выбрасывать_мусор,mahalla,махалля,isolated,no_samples
sgn_00002106,boshqalar,другие,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002107,bo'lmadi,не_получилось_/_нельзя,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002108,istalgan,любой_/_желаемый,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002109,jonlantirish_-_reanimatsiya,оживление_-_реанимация,kerak_emas,не_нужно,isolated,no_samples
sgn_00002113,bo'lib_turadi,находится_/_бывает,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002114,belgilamoq,отмечать_/_определять,kerak_emas,не_нужно,isolated,no_samples
sgn_00002115,xo'jalik,хозяйство,mahalla,махалля,isolated,no_samples
sgn_00002116,xavfsizlik,безопасность,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002117,instagram_facebook,инстаграм_фейсбук,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002118,buyuk_britaniya,великобритания,joy_nomlari,места_названия,isolated,no_samples
sgn_00002119,dubay,Дубай,joy_nomlari,места_названия,isolated,no_samples
sgn_00002120,band,занят_/_занятый,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002121,emas,не_является_/_нет,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002122,hibsga_olmoq,арестовывать,kerak_emas,не_нужно,isolated,no_samples
sgn_00002123,ruhiy_kasal,психически_больной,kerak_emas,не_нужно,isolated,no_samples
sgn_00002124,psix,псих,kerak_emas,не_нужно,isolated,no_samples
sgn_00002125,xavfsiz,безопасный,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002126,umuman,вообще,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002129,bormi_yoki_yo'qmi,есть_или_нет,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002130,qator,ряд_/_очередь,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002132,mos,подходящий_/_соответствующий,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002135,klip,клип,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002137,pirojki,пирожки,kerak_emas,не_нужно,isolated,no_samples
sgn_00002160,qo'ymoq,класть,kerak_emas,не_нужно,isolated,no_samples
sgn_00002162,haydashmoq,ехать_(вести_машину),kerak_emas,не_нужно,isolated,no_samples
sgn_00002163,chiqmoq,выходить,kerak_emas,не_нужно,isolated,no_samples
sgn_00002167,mehmon_chaqirmoq,приглашать_гостей,kerak_emas,не_нужно,isolated,no_samples
sgn_00002179,kirib_kelmoq,заходить,kerak_emas,не_нужно,isolated,no_samples
sgn_00002182,ko'rishmoq,видеться,kerak_emas,не_нужно,isolated,no_samples
sgn_00002183,do'stlashmoq,дружить,kerak_emas,не_нужно,isolated,no_samples
sgn_00002189,dalda_bermoq,подбадривать,kerak_emas,не_нужно,isolated,no_samples
sgn_00002190,tasalli_bermoq,утешать,kerak_emas,не_нужно,isolated,no_samples
sgn_00002191,quchoqlamoq,обнимать,kerak_emas,не_нужно,isolated,no_samples
sgn_00002192,o'pmoq,целовать,kerak_emas,не_нужно,isolated,no_samples
sgn_00002193,silamoq,гладить_(ласкать),kerak_emas,не_нужно,isolated,no_samples
sgn_00002195,non_yemoq,есть_хлеб,kerak_emas,не_нужно,isolated,no_samples
sgn_00002196,choy_ichmoq,пить_чай,kerak_emas,не_нужно,isolated,no_samples
sgn_00002197,kechki_ovqat_yemoq,ужинать,kerak_emas,не_нужно,isolated,no_samples
sgn_00002198,ertalab_turmoq,вставать_утром,kerak_emas,не_нужно,isolated,no_samples
sgn_00002199,ishga_bormoq,идти_на_работу,kerak_emas,не_нужно,isolated,no_samples
sgn_00002200,uyga_qaytmoq,возвращаться_домой,kerak_emas,не_нужно,isolated,no_samples
sgn_00002201,dam_olmoq,отдыхать,kerak_emas,не_нужно,isolated,no_samples
sgn_00002202,sport_qilmoq,заниматься_спортом,kerak_emas,не_нужно,isolated,no_samples
sgn_00002205,televizor_ko'rmoq,смотреть_телевизор,kerak_emas,не_нужно,isolated,no_samples
sgn_00002206,musiqa_tinglashmoq,слушать_музыку,kerak_emas,не_нужно,isolated,no_samples
sgn_00002207,o'yin_o'ynashmoq,играть_в_игру,kerak_emas,не_нужно,isolated,no_samples
sgn_00002208,do'stlar_bilan_o'tirmoq,сидеть_с_друзьями,kerak_emas,не_нужно,isolated,no_samples
sgn_00002209,qahva_ichmoq,пить_кофе,kerak_emas,не_нужно,isolated,no_samples
sgn_00002210,mashina_yuvmoq,мыть_машину,kerak_emas,не_нужно,isolated,no_samples
sgn_00002211,bozorga_bormoq,идти_на_рынок,kerak_emas,не_нужно,isolated,no_samples
sgn_00002212,do'konga_kirmoq,заходить_в_магазин,kerak_emas,не_нужно,isolated,no_samples
sgn_00002213,narx_so'ramoq,спрашивать_цену,kerak_emas,не_нужно,isolated,no_samples
sgn_00002214,pul_hisoblashmoq,считать_деньги,kerak_emas,не_нужно,isolated,no_samples
sgn_00002215,orasida,между,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002216,norozilik,недовольство,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002217,savol-javob,вопрос-ответ,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002218,bajarmoq,выполнять,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002219,afsus,жаль,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002220,afsuslanmoq,сожалеть,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002221,namoyish,демонстрация,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002222,ta'sir,влияние,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002223,davomida,в_течение,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002224,davom_etmoq,продолжать,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002225,ko'proq,больше,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002226,ma'no,смысл,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002227,hamon,всё_ещё,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002228,taqdirlamoq,награждать,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002237,qatnamoq,участвовать,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002238,aralash,смешанный,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002239,yupatmoq,утешать,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002240,ikkinchi_o'rin,второе_место,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002241,uchunchi_o'rin,третье_место,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002242,homiy,спонсор,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002243,texnika,техника,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002244,qizil_kartochka,красная_карточка,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002245,sariq_kartochka,жёлтая_карточка,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002246,yangilash,обновление,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002247,pumse,пумсе,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002248,belbog',пояс,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002249,o'chirmaslik,не_удалять,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002250,hozircha,пока_что,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002251,xarajat,расход,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002252,devor_qurmoq,строить_стену,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002253,tagida,под_(чем-либо),jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002254,haj,хадж,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002255,umra,умра,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002256,tadbirkorlik,предпринимательство,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002257,raqamli,цифровой,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002258,ta'minmoq,обеспечивать,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002259,muhokama,обсуждение,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002260,aloqalar,связи,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002261,bir_nechta,несколько,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002262,qoidabuzarlik,нарушение_правил,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002263,elchi,посол,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002264,cheklov,ограничение,jumla_buyicha_so'zlar,слова_из_предложения,isolated,no_samples
sgn_00002266,"assalomu_alaykum,_yaxshi_kuningiz","ассаламу алейкум, хорошего вам дня",jumlalar,предложения,continuous,no_samples
sgn_00002267,"va_alaykum_assalom,_qandaysiz","ва алейкум ассалам, как вы",jumlalar,предложения,continuous,no_samples
sgn_00002268,"xayr,_ertaga_ko'rishguncha","до свидания, до завтрашней встречи",jumlalar,предложения,continuous,no_samples
